ID,City,Postal Code,AreaCode,JoinDate,ExpiryDate,Time2ExpiryDays,Time2ExpiryYears,YearJoin,YearExpire,ProdCount,ProdMix,Gender,AssocMemCount,JoinAge,ExpireAge,PlusMemb,LTVCode,ERSCalls,ERSCallsBinary,RenewType,Target
6.20E+15,ST ANNS,L0R1Y0,905,11/23/2015,12/31/2016,404,1,2015,2016,1,M,M,0,26,27,Y,C,0,NO,R,No
6.20E+15,GRIMSBY,L3M3L9,,12/1/2015,12/31/2016,396,1,2015,2016,1,M,,0,29,30,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G5S4,905,12/2/2015,12/31/2016,395,1,2015,2016,1,M,F,0,36,37,N,C,0,NO,A,No
6.20E+15,GRIMSBY,L3M0C8,905,12/4/2015,12/31/2016,393,1,2015,2016,1,M,F,0,25,26,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2M1M1,905,12/10/2015,12/31/2016,387,1,2015,2016,1,M,,0,36,37,N,C,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B6,289,12/11/2015,12/31/2016,386,1,2015,2016,1,M,F,1,,,N,C,0,NO,R,No
6.20E+15,WELLAND,L3B6G5,,12/15/2015,12/31/2016,382,1,2015,2016,1,M,,0,,,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2H3C1,905,12/16/2015,12/31/2016,381,1,2015,2016,1,M,F,0,18,19,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2T1W3,705,12/18/2015,12/31/2016,379,1,2015,2016,1,M,,0,24,25,N,C,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2H2Y6,905,12/22/2015,12/31/2016,375,1,2015,2016,1,M,,0,43,44,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2E2P1,905,12/22/2015,12/31/2016,375,1,2015,2016,1,M,M,0,51,52,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2E1Y2,905,12/23/2015,12/31/2016,374,1,2015,2016,1,M,,0,31,32,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2T1M7,905,12/28/2015,12/31/2016,369,1,2015,2016,1,M,F,0,52,53,Y,C,0,NO,R,No
6.20E+15,WHITBY,L0B1A0,905,12/30/2015,12/31/2016,367,1,2015,2016,1,M,,0,44,45,Y,C,0,NO,A,No
6.20E+15,ST CATHARINES,L2T2Y3,289,8/31/2015,8/31/2016,366,1,2015,2016,2,GM,M,1,48,49,Y,C,0,NO,R,No
6.20E+15,THOROLD,L2V2T2,905,12/4/2015,12/31/2016,393,1,2015,2016,2,GM,,0,,,N,C,0,NO,A,No
6.20E+15,ST CATHARINES,L2M1T4,905,12/17/2015,12/31/2016,380,1,2015,2016,2,GM,F,0,,,N,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2M5N5,289,12/18/2015,12/31/2016,379,1,2015,2016,2,GM,F,0,59,60,N,C,2,YES,R,No
6.20E+15,ST CATHARINES,L2P2S8,705,12/18/2015,12/31/2016,379,1,2015,2016,2,GM,,0,23,24,Y,C,0,NO,R,No
6.20E+15,GRIMSBY,L3M2L1,905,12/21/2015,12/31/2016,376,1,2015,2016,2,GM,F,1,18,19,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G1B9,905,12/24/2015,12/31/2016,373,1,2015,2016,2,GM,,0,,,Y,C,0,NO,R,No
6.20E+15,WELLAND,L3C3N3,289,12/24/2015,12/31/2016,373,1,2015,2016,2,GM,M,0,72,73,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G6R6,250,12/10/2015,12/31/2016,387,1,2015,2016,3,GKM,M,0,20,21,Y,A,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2H2T8,905,8/7/2015,8/31/2016,390,1,2015,2016,3,FGM,M,1,51,52,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2H3M3,289,11/27/2015,11/30/2016,369,1,2015,2016,3,FGM,M,1,71,72,N,C,0,NO,R,No
6.20E+15,NIAGARA-ON-THE-LAKE,L0S1J0,905,12/10/2015,12/31/2016,387,1,2015,2016,3,FGM,,0,46,47,Y,C,0,NO,R,No
6.20E+15,WELLAND,L3B5N8,905,12/18/2015,12/31/2016,379,1,2015,2016,3,FGM,F,0,19,20,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2S3E2,,12/2/2015,12/31/2016,395,1,2015,2016,4,FGIM,,0,42,43,Y,C,0,NO,R,No
6.20E+15,WELLAND,L3C7N7,289,12/14/2015,12/31/2016,383,1,2015,2016,3,EMW,F,0,37,38,N,C,2,YES,R,No
6.20E+15,ST CATHARINES,L2M5W2,,11/27/2015,12/31/2016,400,1,2015,2016,2,EM,M,0,20,21,Y,E,2,YES,R,No
6.20E+15,ST CATHARINES,L2M7S3,289,12/16/2015,12/31/2016,381,1,2015,2016,2,EM,F,0,28,29,Y,E,2,YES,R,No
6.20E+15,GRIMSBY,L3M3T2,905,12/22/2015,12/31/2016,375,1,2015,2016,2,EM,M,0,35,36,Y,D,2,YES,R,No
6.20E+15,NIAGARA FALLS,L2G4J7,,12/24/2015,12/31/2016,373,1,2015,2016,2,EM,M,0,22,23,Y,D,5,YES,R,No
6.20E+15,FORT ERIE,L2A3B8,,12/28/2015,12/31/2016,369,1,2015,2016,2,EM,,0,31,32,N,D,2,YES,R,No
6.20E+15,NIAGARA FALLS,L2E3S4,905,12/30/2015,12/31/2016,367,1,2015,2016,2,EM,M,0,21,22,N,D,1,YES,R,No
6.20E+15,ST CATHARINES,L2S1T4,905,12/30/2015,12/31/2016,367,1,2015,2016,2,EM,,0,25,26,N,D,2,YES,A,No
6.20E+15,RIDGEWAY,L0S1N0,289,11/23/2015,12/31/2016,404,1,2015,2016,2,EM,,0,,,Y,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2R4A4,289,11/30/2015,12/31/2016,397,1,2015,2016,2,EM,F,0,45,46,Y,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2S2X5,,12/11/2015,12/31/2016,386,1,2015,2016,2,EM,,1,26,27,N,C,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2H3B7,905,12/17/2015,12/31/2016,380,1,2015,2016,2,EM,,0,,,Y,C,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2E4X9,,12/24/2015,12/31/2016,373,1,2015,2016,2,EM,,0,30,31,N,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2T3N8,905,12/29/2015,12/31/2016,368,1,2015,2016,2,EM,M,0,69,70,Y,C,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2G6B9,,9/24/2015,9/30/2016,372,1,2015,2016,5,EIMST,M,1,31,32,Y,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2M7V1,289,12/17/2015,12/31/2016,380,1,2015,2016,4,EGMS,,0,,,N,D,3,YES,R,No
6.20E+15,WELLAND,L3C7E4,289,12/14/2015,12/31/2016,383,1,2015,2016,4,EGMS,M,1,28,29,Y,C,1,YES,R,No
6.20E+15,WELLAND,L3C4B2,289,12/7/2015,12/31/2016,390,1,2015,2016,4,EGMS,M,1,44,45,Y,C,2,YES,R,No
6.20E+15,ST CATHARINES,L2R6P9,289,12/1/2015,12/31/2016,396,1,2015,2016,5,EGMOT,,0,39,40,Y,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2P3K4,905,12/21/2015,12/31/2016,376,1,2015,2016,4,EGMO,F,0,24,25,N,D,3,YES,R,No
6.20E+15,STEVENSVILLE,L0S1S0,905,5/8/2015,5/31/2016,389,1,2015,2016,3,EGM,,1,44,45,N,D,2,YES,R,No
6.20E+15,NIAGARA FALLS,L2H0M6,416,11/6/2015,11/30/2016,390,1,2015,2016,3,EGM,,0,42,43,N,D,2,YES,R,No
6.20E+15,ST CATHARINES,L2M4T6,519,11/23/2015,12/31/2016,404,1,2015,2016,3,EGM,,0,,,Y,D,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2E6N6,,12/4/2015,12/31/2016,393,1,2015,2016,3,EGM,,0,36,37,Y,D,0,NO,A,No
6.20E+15,PORT COLBORNE,L3K6E1,289,12/4/2015,12/31/2016,393,1,2015,2016,3,EGM,,0,51,52,Y,D,4,YES,R,No
6.20E+15,PORT COLBORNE,L3K3E6,289,12/9/2015,12/31/2016,388,1,2015,2016,3,EGM,M,0,19,20,Y,D,2,YES,R,No
6.20E+15,ST CATHARINES,L2M4A4,905,12/10/2015,12/31/2016,387,1,2015,2016,3,EGM,F,0,33,34,Y,D,4,YES,R,No
6.20E+15,ST CATHARINES,L2M4V4,289,12/21/2015,12/31/2016,376,1,2015,2016,3,EGM,M,0,33,34,Y,D,5,YES,R,No
6.20E+15,NIAGARA FALLS,L2G1Y4,289,12/22/2015,12/31/2016,375,1,2015,2016,3,EGM,M,0,23,24,N,D,2,YES,R,No
6.20E+15,ST CATHARINES,L2S3X2,289,12/23/2015,12/31/2016,374,1,2015,2016,3,EGM,F,0,28,29,N,D,4,YES,R,No
6.20E+15,WELLAND,L3B2V5,905,12/24/2015,12/31/2016,373,1,2015,2016,3,EGM,F,0,48,49,Y,D,2,YES,R,No
6.20E+15,NIAGARA FALLS,L2G5J4,905,12/24/2015,12/31/2016,373,1,2015,2016,3,EGM,,0,25,26,N,D,4,YES,R,No
6.20E+15,SURREY,V3Z9R9,289,2/24/2015,2/29/2016,370,1,2015,2016,3,EGM,M,1,53,54,Y,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2M1M3,289,10/22/2015,5/31/2016,222,1,2015,2016,3,EGM,,1,33,34,N,C,1,YES,R,No
6.20E+15,FORT ERIE,L2A2M8,289,12/4/2015,12/31/2016,393,1,2015,2016,3,EGM,F,1,32,33,N,C,2,YES,A,No
6.20E+15,ST CATHARINES,L2M6L5,647,12/7/2015,12/31/2016,390,1,2015,2016,3,EGM,M,0,51,52,Y,C,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2H1Y9,905,12/11/2015,12/31/2016,386,1,2015,2016,3,EGM,M,0,62,63,Y,C,1,YES,R,No
6.20E+15,WELLAND,L3C0B2,289,12/14/2015,12/31/2016,383,1,2015,2016,3,EGM,F,0,61,62,Y,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2P2H1,905,12/17/2015,12/31/2016,380,1,2015,2016,3,EGM,M,0,44,45,Y,C,2,YES,R,No
6.20E+15,PORT COLBORNE,L3K5V4,289,12/10/2015,12/31/2016,387,1,2015,2016,4,EGKM,M,0,26,27,N,D,3,YES,R,No
6.20E+15,FENWICK,L0S1C0,289,11/26/2015,12/31/2016,401,1,2015,2016,4,EFGM,M,1,57,58,Y,C,2,YES,R,No
6.20E+15,WELLAND,L3C2S2,905,12/4/2015,12/31/2016,393,1,2015,2016,7,EFGKMTW,F,0,69,70,Y,C,1,YES,R,No
6.20E+15,WELLAND,L3C3S2,905,12/9/2015,12/31/2016,388,1,2015,2016,2,AM,F,0,37,38,Y,C,1,YES,R,No
6.20E+15,WELLAND,L3B1B2,289,12/22/2015,12/31/2016,375,1,2015,2016,2,AM,,1,60,61,Y,C,1,YES,R,No
6.20E+15,PETEROROUGH,K9J2M5,905,12/22/2015,12/31/2016,375,1,2015,2016,3,AEM,M,0,21,22,Y,D,1,YES,R,No
6.20E+15,NIAGARA FALLS,L2H2H7,905,12/9/2015,12/31/2016,388,1,2015,2016,3,AEM,,0,38,39,N,C,2,YES,R,No
6.20E+15,BURLINGTON,L7T3X6,905,12/17/2015,12/31/2016,380,1,2015,2016,3,AEM,,0,,,N,C,1,YES,R,No
6.20E+15,BEAMSVILLE,L0R1B8,905,8/28/2015,8/31/2016,369,1,2015,2016,4,AEGM,F,0,36,37,Y,D,0,NO,R,No
6.20E+15,FORT ERIE,L2A5H3,289,12/1/2015,12/31/2016,396,1,2015,2016,4,AEGM,,0,,,N,D,5,YES,R,No
6.20E+15,NIAGARA FALLS,L2E3T7,289,12/29/2015,12/31/2016,368,1,2015,2016,5,AEGKM,,0,,,N,D,5,YES,R,No
6.20E+15,STEVENSVILLE,L0S1S0,905,7/8/2015,7/31/2016,389,1,2015,2016,5,ABEGM,F,0,59,61,N,C,1,YES,R,No
6.20E+15,ST CATHARINES,L2S3S8,905,12/18/2015,12/31/2016,379,1,2015,2016,5,ABEGM,,0,,,Y,C,1,YES,R,No
6.20E+15,CAISTOR CENTRE,L0R1E0,,5/18/2016,5/31/2017,378,1,2016,2017,2,MW,,0,54,55,N,C,0,NO,A,No
6.20E+15,GRIMSBY,L3M5H4,905,6/9/2016,6/30/2017,386,1,2016,2017,2,MW,,0,,,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2P2N8,905,7/2/2016,7/31/2017,394,1,2016,2017,2,MW,F,0,24,25,N,C,0,NO,A,No
6.20E+15,ST CATHARINES,L2N3T4,289,7/8/2016,7/31/2017,388,1,2016,2017,2,MW,,0,68,69,N,C,0,NO,R,No
6.20E+15,NIAGARA-ON-THE-LAKE,L0S1J0,,7/8/2016,7/31/2017,388,1,2016,2017,2,MW,,0,51,52,Y,C,0,NO,A,No
6.20E+15,GRIMSBY,L3M4E8,905,9/15/2016,9/30/2017,380,1,2016,2017,2,MW,,0,52,53,N,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2N7R2,905,10/20/2016,10/31/2017,376,1,2016,2017,2,MW,F,1,76,77,Y,C,0,NO,A,No
6.20E+15,THOROLD,L2V0A5,905,2/19/2016,2/28/2017,375,1,2016,2017,2,MV,,0,36,37,Y,C,0,NO,A,No
6.20E+15,ST CATHARINES,L2S3Z4,905,5/13/2016,5/31/2017,383,1,2016,2017,2,MV,F,1,51,52,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2J3W1,905,11/4/2016,11/30/2017,391,1,2016,2017,2,MT,M,0,36,37,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2H1C7,,11/21/2016,11/30/2017,374,1,2016,2017,2,MT,M,0,50,51,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2N4C9,289,5/5/2016,5/31/2017,391,1,2016,2017,2,MS,F,0,36,37,N,C,0,NO,R,No
6.20E+15,WELLAND,L3B3M4,289,8/10/2016,8/31/2017,386,1,2016,2017,2,MS,M,0,37,38,N,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2M3A6,905,12/19/2016,12/31/2017,377,1,2016,2017,2,MS,M,0,,,N,C,0,NO,R,No
6.20E+15,WELLAND,L3B5N4,905,1/11/2016,1/31/2017,386,1,2016,2017,2,MS,F,0,18,19,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2J3B7,905,4/1/2016,4/30/2017,394,1,2016,2017,2,MS,M,0,31,32,N,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2P2H5,905,9/1/2016,9/30/2017,394,1,2016,2017,2,MS,M,1,,,N,C,0,NO,R,No
6.20E+15,GRIMSBY,L3M3H7,,9/7/2016,9/30/2017,388,1,2016,2017,2,MS,,0,56,57,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2S3Y5,905,9/9/2016,9/30/2017,386,1,2016,2017,2,MS,,0,80,82,N,C,0,NO,R,No
6.20E+15,WELLAND,L3B5N4,905,11/14/2016,11/30/2017,381,1,2016,2017,2,MS,,0,47,48,N,C,0,NO,R,No
6.20E+15,OSHAWA,L1H7K4,905,10/18/2016,10/31/2017,378,1,2016,2017,2,MS,F,0,49,50,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G3Z7,905,11/25/2016,11/30/2017,370,1,2016,2017,2,MS,F,0,35,36,N,C,0,NO,R,No
6.20E+15,FONTHILL,L0S1E4,289,2/4/2016,2/28/2017,390,1,2016,2017,2,MO,,1,44,45,N,C,0,NO,A,No
6.20E+15,ST CATHARINES,L2T3A3,416,3/2/2016,3/31/2017,394,1,2016,2017,1,M,,0,20,21,N,D,0,NO,R,No
6.20E+15,VINELAND,L0R2C0,905,3/16/2016,4/30/2017,410,1,2016,2017,1,M,M,0,,,N,D,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G7X2,647,4/13/2016,5/31/2017,413,1,2016,2017,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2J4J2,289,5/5/2016,5/31/2017,391,1,2016,2017,1,M,M,0,74,75,Y,D,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B7,416,5/12/2016,6/30/2017,414,1,2016,2017,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,FONTHILL,L0S1E2,905,5/19/2016,6/30/2017,407,1,2016,2017,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,FONTHILL,L0S1E4,289,5/19/2016,6/30/2017,407,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2J3L8,647,6/22/2016,7/31/2017,404,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,GRIMSBY,L3M5R4,,6/24/2016,8/31/2017,433,1,2016,2017,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2P2T9,905,6/29/2016,8/31/2017,428,1,2016,2017,1,M,,1,,,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2S2E5,,6/29/2016,8/31/2017,428,1,2016,2017,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,GRIMSBY,L3M0B9,,7/5/2016,8/31/2017,422,1,2016,2017,1,M,M,0,26,27,N,D,0,NO,R,No
6.20E+15,THOROLD,L2V2K6,905,7/15/2016,8/31/2017,412,1,2016,2017,1,M,M,0,,,N,D,0,NO,R,No
6.20E+15,STEVENSVILLE,L0S1S0,905,8/16/2016,9/30/2017,410,1,2016,2017,1,M,F,0,42,43,Y,D,0,NO,R,No
6.20E+15,FORT ERIE,L2A6G9,647,8/17/2016,9/30/2017,409,1,2016,2017,1,M,M,0,52,53,Y,D,0,NO,R,No
6.20E+15,RIDGEWAY,L0S1N0,905,8/17/2016,9/30/2017,409,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,WELLAND,L3B5N7,289,8/17/2016,9/30/2017,409,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,WELLAND,L3B2A3,289,8/17/2016,9/30/2017,409,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,FORT ERIE,L2A3Z7,905,8/19/2016,9/30/2017,407,1,2016,2017,1,M,M,1,,,Y,D,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B8,289,9/22/2016,10/31/2017,404,1,2016,2017,1,M,F,1,,,N,D,0,NO,R,No
6.20E+15,ST ANNS,L0R1Y0,905,9/22/2016,10/31/2017,404,1,2016,2017,1,M,F,0,,,N,D,0,NO,R,No
6.20E+15,NIAGARA-ON-THE-LAKE,L0S1J0,519,9/23/2016,10/31/2017,403,1,2016,2017,1,M,M,1,,,Y,D,0,NO,R,No
6.20E+15,GRIMSBY,L3M3R2,905,9/26/2016,10/31/2017,400,1,2016,2017,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,GRIMSBY,L3M4M9,,9/26/2016,10/31/2017,400,1,2016,2017,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2N5S6,519,9/26/2016,10/31/2017,400,1,2016,2017,1,M,M,0,,,N,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2R6J3,416,9/27/2016,10/31/2017,399,1,2016,2017,1,M,F,0,,,N,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2T2G5,647,9/27/2016,10/31/2017,399,1,2016,2017,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B3,289,10/18/2016,11/30/2017,408,1,2016,2017,1,M,M,2,48,49,Y,D,0,NO,R,No
6.20E+15,NIAGARA-ON-THE-LAKE,L0S1J0,705,10/28/2016,11/30/2017,398,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,WELLAND,L3B0B6,905,1/1/2017,12/31/2017,364,1,2017,2017,1,M,,1,69,70,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2N1M9,905,11/14/2016,12/31/2017,412,1,2016,2017,1,M,F,0,33,34,Y,D,0,NO,R,No
6.20E+15,WELLAND,L3B4S5,905,11/14/2016,12/31/2017,412,1,2016,2017,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,FENWICK,L0S1C0,289,11/14/2016,12/31/2017,412,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2M7X1,905,11/15/2016,12/31/2017,411,1,2016,2017,1,M,M,0,,,N,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2R6L2,519,11/15/2016,12/31/2017,411,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,WELLAND,L3C7H1,289,11/15/2016,12/31/2017,411,1,2016,2017,1,M,M,0,79,80,N,D,0,NO,R,No
6.20E+15,WELLAND,L3C1N1,905,11/16/2016,12/31/2017,410,1,2016,2017,1,M,F,0,,,Y,D,0,NO,R,No
6.20E+15,PORT COLBORNE,L3K1T5,905,11/16/2016,12/31/2017,410,1,2016,2017,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B1,905,11/17/2016,12/31/2017,409,1,2016,2017,1,M,F,1,53,54,N,D,1,YES,R,No
6.20E+15,GRIMSBY,L3M0C8,647,11/17/2016,12/31/2017,409,1,2016,2017,1,M,M,0,39,40,Y,D,0,NO,R,No
6.20E+15,NIAGARA-ON-THE-LAKE,L0S1J0,647,11/18/2016,12/31/2017,408,1,2016,2017,1,M,F,0,,,N,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2M4A4,905,11/18/2016,12/31/2017,408,1,2016,2017,1,M,F,3,,,Y,D,1,YES,A,No
6.20E+15,FORT ERIE,L2A1T8,905,11/18/2016,12/31/2017,408,1,2016,2017,1,M,F,0,62,63,N,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2P3P5,905,11/23/2016,12/31/2017,403,1,2016,2017,1,M,,0,49,50,Y,D,0,NO,R,No
6.20E+15,FORT ERIE,L2A6T6,289,1/11/2016,1/31/2017,386,1,2016,2017,1,M,,1,63,64,Y,C,1,YES,A,No
6.20E+15,PORT COLBORNE,L2N3P2,905,1/12/2016,1/31/2017,385,1,2016,2017,1,M,M,0,36,37,Y,C,0,NO,A,No
6.20E+15,PORT COLBORNE,L3K5V3,,1/12/2016,1/31/2017,385,1,2016,2017,1,M,,1,63,64,Y,C,0,NO,A,No
6.20E+15,SMITHVILLE,L0R2A0,289,1/13/2016,1/31/2017,384,1,2016,2017,1,M,,0,77,78,N,C,0,NO,A,No
6.20E+15,WELLAND,L3B4V5,905,1/13/2016,1/31/2017,384,1,2016,2017,1,M,F,1,77,78,N,C,0,NO,R,No
6.20E+15,JORDAN STATION,L0R1S0,905,1/13/2016,1/31/2017,384,1,2016,2017,1,M,,1,54,55,N,C,0,NO,A,No
6.20E+15,NIAGARA FALLS,L2H0E9,,1/14/2016,1/31/2017,383,1,2016,2017,1,M,,1,45,46,N,C,0,NO,A,No
6.20E+15,WELLAND,L3B5Z9,905,1/15/2016,1/31/2017,382,1,2016,2017,1,M,F,1,52,53,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2E6B5,905,1/15/2016,1/31/2017,382,1,2016,2017,1,M,F,1,49,50,N,C,0,NO,A,No
6.20E+15,CRYSTAL BEACH,L0S1B0,,1/15/2016,1/31/2017,382,1,2016,2017,1,M,,0,34,35,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2E4P2,,1/15/2016,1/31/2017,382,1,2016,2017,1,M,,0,23,24,Y,C,0,NO,R,No
6.20E+15,PORT COLBORNE,L3K2G5,905,1/18/2016,1/31/2017,379,1,2016,2017,1,M,M,0,35,36,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2H1Z6,905,1/18/2016,1/31/2017,379,1,2016,2017,1,M,F,0,59,60,Y,C,0,NO,A,No
6.20E+15,NIAGARA FALLS,L2E5T6,905,1/18/2016,1/31/2017,379,1,2016,2017,1,M,,0,79,80,N,C,0,NO,R,No
6.20E+15,WELLAND,L3B5V1,905,1/19/2016,1/31/2017,378,1,2016,2017,1,M,M,1,86,87,N,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2P1H7,905,1/19/2016,1/31/2017,378,1,2016,2017,1,M,,0,65,66,Y,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G4Y1,905,1/22/2016,1/31/2017,375,1,2016,2017,1,M,F,1,59,60,N,C,0,NO,R,No
6.20E+15,NEW WESTMINSTER,V3I3I5,604,1/22/2016,1/31/2017,375,1,2016,2017,1,M,M,1,28,29,Y,C,0,NO,R,No
6.20E+15,THOROLD,L2V1A8,905,1/25/2016,1/31/2017,372,1,2016,2017,1,M,F,0,35,36,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2M6L6,,1/29/2016,1/31/2017,368,1,2016,2017,1,M,,0,54,55,Y,C,0,NO,A,No
6.20E+15,WELLAND,L3B3Z9,226,2/1/2016,2/28/2017,393,1,2016,2017,1,M,M,0,63,64,Y,C,0,NO,R,No
6.20E+15,ST CATHARINES,L2R5S6,,2/5/2016,2/28/2017,389,1,2016,2017,1,M,M,0,,,Y,C,0,NO,R,No
6.20E+15,SMITHVILLE,L0R2A0,905,2/11/2016,2/28/2017,383,1,2016,2017,1,M,F,1,87,88,N,C,0,NO,R,No
